card_id,name,faction,card_type,subtype,total_count,draw_deck_count,starting_zone,is_dragon,dragon_value,color_hex,rules_text,flavor_text,ability_timing,effect_actions,modifiers,special_flags,on_enter_json,on_turn_start_json,on_leave_json,play_steps_json,mechanics_json,artwork_path,has_unique_artwork
m_enchanting,Enchanting Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#f1948a,"When this card enters your stable, you may DISCARD a card. If you do, STEAL a Dragon.",,When entering a stable,costDiscardThen; steal,,,"[{""do"":""costDiscardThen"",""who"":""owner"",""then"":[{""do"":""steal"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""others""},""optional"":false}]}]",,,,"{""onEnter"":[{""do"":""costDiscardThen"",""who"":""owner"",""then"":[{""do"":""steal"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""others""},""optional"":false}]}]}",/cards/m_enchanting.webp,TRUE
m_galewing,Galewing,Dragons,magical,,1,1,Draw deck,TRUE,1,#a3e4d7,"When this card enters your stable, you may take an Instant card from the discard pile into your hand.",,When entering a stable,fromDiscard,,,"[{""do"":""fromDiscard"",""who"":""owner"",""filter"":{""types"":[""instant""]},""to"":""hand"",""optional"":true}]",,,,"{""onEnter"":[{""do"":""fromDiscard"",""who"":""owner"",""filter"":{""types"":[""instant""]},""to"":""hand"",""optional"":true}]}",/cards/m_galewing.webp,TRUE
m_gilded_wyv,Gilded Wyvern,Dragons,magical,wyvern,1,1,Draw deck,TRUE,1,#d5b556,"When this card enters your stable, you may search the deck for an Upgrade card and add it to your hand, then shuffle the deck.",,When entering a stable,searchDeck,,,"[{""do"":""searchDeck"",""who"":""owner"",""filter"":{""types"":[""upgrade""]},""optional"":true}]",,,,"{""onEnter"":[{""do"":""searchDeck"",""who"":""owner"",""filter"":{""types"":[""upgrade""]},""optional"":true}]}",/cards/m_gilded_wyv.webp,TRUE
m_guardian,Guardian Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#7fb3d5,"If another Dragon in your stable would be destroyed, you may SACRIFICE this card instead.",,Continuous / special rule,,,guardian=true,,,,,"{""guardian"":true}",/cards/m_guardian.webp,TRUE
m_harvest,Harvest Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#d68910,"When this card enters your stable, DRAW 2 cards, then DISCARD a card.",,When entering a stable,draw; discard,,,"[{""do"":""draw"",""who"":""owner"",""n"":2},{""do"":""discard"",""who"":""owner"",""n"":1}]",,,,"{""onEnter"":[{""do"":""draw"",""who"":""owner"",""n"":2},{""do"":""discard"",""who"":""owner"",""n"":1}]}",/cards/m_harvest.webp,TRUE
m_hoardwing,Hoardwing,Dragons,magical,,1,1,Draw deck,TRUE,1,#f4d03f,"When this card enters your stable, DRAW a card.",,When entering a stable,draw,,,"[{""do"":""draw"",""who"":""owner"",""n"":1}]",,,,"{""onEnter"":[{""do"":""draw"",""who"":""owner"",""n"":1}]}",/cards/m_hoardwing.webp,TRUE
m_ironclaw,Ironclaw Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#839192,"When this card enters your stable, you may DESTROY an Upgrade in any stable or SACRIFICE a Downgrade in your stable.",,When entering a stable,destroyUpOrSacDown,,,"[{""do"":""destroyUpOrSacDown"",""optional"":true}]",,,,"{""onEnter"":[{""do"":""destroyUpOrSacDown"",""optional"":true}]}",/cards/m_ironclaw.webp,TRUE
m_nagging,Nagging Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#cd6155,"When this card enters your stable, each player must DISCARD a card.",,When entering a stable,eachPlayer; discard,,,"[{""do"":""eachPlayer"",""include"":""all"",""steps"":[{""do"":""discard"",""who"":""each"",""n"":1}]}]",,,,"{""onEnter"":[{""do"":""eachPlayer"",""include"":""all"",""steps"":[{""do"":""discard"",""who"":""each"",""n"":1}]}]}",/cards/m_nagging.webp,TRUE
m_pest,Pest Drake,Dragons,magical,,1,1,Draw deck,TRUE,1,#82e0aa,"When this card enters your stable, you may choose another player. That player must DISCARD a card.",,When entering a stable,targetDiscard,,,"[{""do"":""targetDiscard"",""chooser"":""owner"",""optional"":true}]",,,,"{""onEnter"":[{""do"":""targetDiscard"",""chooser"":""owner"",""optional"":true}]}",/cards/m_pest.webp,TRUE
m_phoenix,Phoenix Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#e74c3c,"If this card would be sacrificed or destroyed, you may DISCARD a card instead.",,When it would leave the stable,,,wouldLeave=discardInstead,,,,,"{""wouldLeave"":""discardInstead""}",/cards/m_phoenix.webp,TRUE
m_queen,Queen Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#c39bd3,"While this card is in your stable, Basic Dragons cannot enter any stable but yours.",,Continuous / special rule,,queensDecree,,,,,,"{""mods"":[""queensDecree""]}",/cards/m_queen.webp,TRUE
m_razorfin,Razorfin Wyvern,Dragons,magical,wyvern,1,1,Draw deck,TRUE,1,#2e86ab,"At the start of your turn, you may SACRIFICE this card. If you do, DESTROY a Dragon.",,Start of owner's turn,costSacrificeSelfThen; destroy,,,,"{""steps"":[{""do"":""costSacrificeSelfThen"",""then"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":false}]}]}",,,"{""onTurnStart"":{""steps"":[{""do"":""costSacrificeSelfThen"",""then"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":false}]}]}}",/cards/m_razorfin.webp,TRUE
m_scrappy,Scrappy Wyvern,Dragons,magical,wyvern,1,1,Draw deck,TRUE,1,#a04000,"When this card enters your stable, you may search the deck for a Downgrade card and add it to your hand, then shuffle the deck.",,When entering a stable,searchDeck,,,"[{""do"":""searchDeck"",""who"":""owner"",""filter"":{""types"":[""downgrade""]},""optional"":true}]",,,,"{""onEnter"":[{""do"":""searchDeck"",""who"":""owner"",""filter"":{""types"":[""downgrade""]},""optional"":true}]}",/cards/m_scrappy.webp,TRUE
m_seraph,Seraph Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#f7dc6f,"If this card is sacrificed or destroyed, you may bring a Baby Dragon from the Nest into your stable.",,When sacrificed or destroyed,babyFromNest,,,,,"[{""do"":""babyFromNest"",""who"":""owner"",""optional"":true}]",,"{""onLeave"":[{""do"":""babyFromNest"",""who"":""owner"",""optional"":true}]}",/cards/m_seraph.webp,TRUE
m_spellscale,Spellscale Whelp,Dragons,magical,,1,1,Draw deck,TRUE,1,#48c9b0,This card cannot be destroyed by Magic cards.,,Continuous / special rule,,,noMagicDestroy=true,,,,,"{""noMagicDestroy"":true}",/cards/m_spellscale.webp,TRUE
m_spiteclaw,Spiteclaw Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#922b21,"If this card is sacrificed or destroyed, you may DESTROY a Dragon.",,When sacrificed or destroyed,destroy,,,,,"[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":true}]",,"{""onLeave"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":true}]}",/cards/m_spiteclaw.webp,TRUE
m_stormwing,Stormwing,Dragons,magical,,1,1,Draw deck,TRUE,1,#5dade2,"When this card enters your stable, you may take a Magic card from the discard pile into your hand.",,When entering a stable,fromDiscard,,,"[{""do"":""fromDiscard"",""who"":""owner"",""filter"":{""types"":[""magic""]},""to"":""hand"",""optional"":true}]",,,,"{""onEnter"":[{""do"":""fromDiscard"",""who"":""owner"",""filter"":{""types"":[""magic""]},""to"":""hand"",""optional"":true}]}",/cards/m_stormwing.webp,TRUE
m_stray,Stray Whelp,Dragons,magical,,1,1,Draw deck,TRUE,1,#b9770e,"At the start of each player’s turn, this card moves to that player’s stable. This card cannot be sacrificed or destroyed.",,Start of every player's turn; Continuous / special rule,,,protected=true; wanders=true,,,,,"{""protected"":true,""wanders"":true}",/cards/m_stray.webp,TRUE
m_tidal,Tidal Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#45b39d,"When this card enters your stable, you may return a card in another player’s stable to their hand.",,When entering a stable,return,,,"[{""do"":""return"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""others""},""optional"":true}]",,,,"{""onEnter"":[{""do"":""return"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""others""},""optional"":true}]}",/cards/m_tidal.webp,TRUE
m_torpedo,Torpedo Wyvern,Dragons,magical,wyvern,1,1,Draw deck,TRUE,1,#1a5276,"When this card enters your stable, SACRIFICE all Downgrades in your stable.",,When entering a stable,sacrificeAll,,,"[{""do"":""sacrificeAll"",""who"":""owner"",""filter"":{""kind"":""downgrade""}}]",,,,"{""onEnter"":[{""do"":""sacrificeAll"",""who"":""owner"",""filter"":{""kind"":""downgrade""}}]}",/cards/m_torpedo.webp,TRUE
u_sigil,Ancient Sigil,Dragons,upgrade,,2,2,Draw deck,FALSE,,#f5b041,Cards you play cannot be stopped by Instant cards.,,Continuous / special rule,,uncounterable,,,,,,"{""mods"":[""uncounterable""]}",,FALSE
u_snare,Dragon Snare,Dragons,upgrade,,2,2,Draw deck,FALSE,,#7e5109,"At the start of your turn, you may STEAL a Dragon. Return it to its stable at the end of your turn.",,Start of owner's turn,snareSteal,,,,"{""steps"":[{""do"":""snareSteal""}]}",,,"{""onTurnStart"":{""steps"":[{""do"":""snareSteal""}]}}",,FALSE
u_armor,Dragonscale Ward,Dragons,upgrade,,2,2,Draw deck,FALSE,,#5499c7,Dragons in this stable cannot be destroyed.,,Continuous / special rule,,dragonsSafe,,,,,,"{""mods"":[""dragonsSafe""]}",/cards/u_armor.webp,TRUE
u_keg,Powder Keg,Dragons,upgrade,,2,2,Draw deck,FALSE,,#dc7633,"At the start of your turn, you may SACRIFICE a card. If you do, DESTROY a card.",,Start of owner's turn,sacrifice; ifVar; destroy,,,,"{""steps"":[{""do"":""sacrifice"",""who"":""owner"",""filter"":{""kind"":""any""},""optional"":true,""saveDone"":""lit""},{""do"":""ifVar"",""var"":""lit"",""then"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""any""},""optional"":false}]}]}",,,"{""onTurnStart"":{""steps"":[{""do"":""sacrifice"",""who"":""owner"",""filter"":{""kind"":""any""},""optional"":true,""saveDone"":""lit""},{""do"":""ifVar"",""var"":""lit"",""then"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""any""},""optional"":false}]}]}}",,FALSE
u_tail,Spiked Tail,Dragons,upgrade,,2,2,Draw deck,FALSE,,#58d68d,"This card can only enter a stable that holds a Basic Dragon. At the start of your turn, you may DRAW an extra card.",,Start of owner's turn; Continuous / special rule,ask; ifVar; draw,,requiresBasic=true,,"{""steps"":[{""do"":""ask"",""text"":""Draw an extra card with Spiked Tail?"",""saveDone"":""y""},{""do"":""ifVar"",""var"":""y"",""then"":[{""do"":""draw"",""who"":""owner"",""n"":1}]}]}",,,"{""requiresBasic"":true,""onTurnStart"":{""steps"":[{""do"":""ask"",""text"":""Draw an extra card with Spiked Tail?"",""saveDone"":""y""},{""do"":""ifVar"",""var"":""y"",""then"":[{""do"":""draw"",""who"":""owner"",""n"":1}]}]}}",,FALSE
u_twinheads,Twin Heads,Dragons,upgrade,,2,2,Draw deck,FALSE,,#af7ac5,"At the start of your turn, gain an extra action for this turn (play a card or draw a card).",,Start of owner's turn,extraAction,,,,"{""steps"":[{""do"":""extraAction""}]}",,,"{""onTurnStart"":{""steps"":[{""do"":""extraAction""}]}}",,FALSE
d_tithe,Blood Tithe,Dragons,downgrade,,2,2,Draw deck,FALSE,,#78281f,"At the start of your turn, SACRIFICE a Dragon. If you do, DRAW a card.",,Start of owner's turn,sacrifice; ifVar; draw,,,,"{""steps"":[{""do"":""sacrifice"",""who"":""owner"",""filter"":{""kind"":""dragon""},""optional"":false,""saveDone"":""paid""},{""do"":""ifVar"",""var"":""paid"",""then"":[{""do"":""draw"",""who"":""owner"",""n"":1}]}]}",,,"{""onTurnStart"":{""steps"":[{""do"":""sacrifice"",""who"":""owner"",""filter"":{""kind"":""dragon""},""optional"":false,""saveDone"":""paid""},{""do"":""ifVar"",""var"":""paid"",""then"":[{""do"":""draw"",""who"":""owner"",""n"":1}]}]}}",,FALSE
d_cave,Cramped Cave,Dragons,downgrade,,1,1,Draw deck,FALSE,,#7b7d7d,"If this stable ever holds more than 5 Dragons, its owner must SACRIFICE a Dragon.",,Continuous / special rule,,maxFive,,,,,,"{""mods"":[""maxFive""]}",,FALSE
d_fog,Dampening Fog,Dragons,downgrade,,1,1,Draw deck,FALSE,,#85929e,All Dragons in this stable are considered Basic Dragons with no abilities.,,Continuous / special rule,,suppress,,,,,,"{""mods"":[""suppress""]}",/cards/d_fog.webp,TRUE
d_chains,Heavy Chains,Dragons,downgrade,,2,2,Draw deck,FALSE,,#515a5a,This stable’s owner cannot play Instant cards.,,Continuous / special rule,,noInstants,,,,,,"{""mods"":[""noInstants""]}",,FALSE
d_lair,Ruined Lair,Dragons,downgrade,,2,2,Draw deck,FALSE,,#4d5656,This stable’s owner cannot play Upgrade cards.,,Continuous / special rule,,noUpgrades,,,,,,"{""mods"":[""noUpgrades""]}",,FALSE
d_orb,Scrying Orb,Dragons,downgrade,,1,1,Draw deck,FALSE,,#a569bd,This stable’s owner must keep their hand visible to all players.,,Continuous / special rule,,handVisible,,,,,,"{""mods"":[""handVisible""]}",,FALSE
d_cage,Thorned Cage,Dragons,downgrade,,2,2,Draw deck,FALSE,,#6e2c00,"Each time a Dragon enters or leaves this stable, its owner must DISCARD a card.",,Continuous / special rule,,barbedWire,,,,,,"{""mods"":[""barbedWire""]}",,FALSE
d_toadcurse,Toadcurse,Dragons,downgrade,,1,1,Draw deck,FALSE,,#52be80,"All Dragons in this stable are considered Toads. Cards that affect Dragons do not affect Toads, and Toads do not count toward winning.",,Continuous / special rule,,toads,,,,,,"{""mods"":[""toads""]}",,FALSE
s_maelstrom,Arcane Maelstrom,Dragons,magic,,1,1,Draw deck,FALSE,,#2874a6,Each player must DISCARD a card. Then shuffle the discard pile into the deck.,,When played,eachPlayer; discard; shuffleDiscardIntoDeck,,,,,,"[{""do"":""eachPlayer"",""include"":""all"",""steps"":[{""do"":""discard"",""who"":""each"",""n"":1}]},{""do"":""shuffleDiscardIntoDeck""}]","{""steps"":[{""do"":""eachPlayer"",""include"":""all"",""steps"":[{""do"":""discard"",""who"":""each"",""n"":1}]},{""do"":""shuffleDiscardIntoDeck""}]}",,FALSE
s_slate,Clean Slate,Dragons,magic,,1,1,Draw deck,FALSE,,#aeb6bf,Every player must SACRIFICE all Upgrades and Downgrades in their stable. Then shuffle the discard pile into the deck.,,When played,massSacUpDown; shuffleDiscardIntoDeck,,,,,,"[{""do"":""massSacUpDown""},{""do"":""shuffleDiscardIntoDeck""}]","{""steps"":[{""do"":""massSacUpDown""},{""do"":""shuffleDiscardIntoDeck""}]}",,FALSE
s_trade,Crooked Trade,Dragons,magic,,1,1,Draw deck,FALSE,,#b7950b,Trade hands with another player.,,When played,tradeHands,,,,,,"[{""do"":""tradeHands"",""who"":""owner""}]","{""steps"":[{""do"":""tradeHands"",""who"":""owner""}]}",,FALSE
s_shift,Curse Shift,Dragons,magic,,2,2,Draw deck,FALSE,,#a569bd,Move an Upgrade or Downgrade from any stable to any other stable.,,When played,moveUpDown,,,,,,"[{""do"":""moveUpDown"",""chooser"":""owner""}]","{""steps"":[{""do"":""moveUpDown"",""chooser"":""owner""}]}",,FALSE
s_venom,Dragonbane Venom,Dragons,magic,,3,3,Draw deck,FALSE,,#1e8449,DESTROY a Dragon.,,When played,destroy,,,,,,"[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":false,""byMagic"":true}]","{""steps"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":false,""byMagic"":true}]}",/cards/s_venom.webp,TRUE
s_lucky,Lucky Find,Dragons,magic,,2,2,Draw deck,FALSE,,#f8c471,"DRAW 3 cards, then DISCARD a card.",,When played,draw; discard,,,,,,"[{""do"":""draw"",""who"":""owner"",""n"":3},{""do"":""discard"",""who"":""owner"",""n"":1}]","{""steps"":[{""do"":""draw"",""who"":""owner"",""n"":3},{""do"":""discard"",""who"":""owner"",""n"":1}]}",,FALSE
s_molt,Molting Season,Dragons,magic,,1,1,Draw deck,FALSE,,#d98880,"Shuffle your hand and the discard pile into the deck, then DRAW 5 cards.",,When played,moltHand,,,,,,"[{""do"":""moltHand"",""who"":""owner""}]","{""steps"":[{""do"":""moltHand"",""who"":""owner""}]}",,FALSE
s_bargain,Sacrificial Bargain,Dragons,magic,,2,2,Draw deck,FALSE,,#6e2c00,"SACRIFICE a card. If you do, DESTROY 2 cards.",,When played,sacrifice; ifVar; destroy; destroy,,,,,,"[{""do"":""sacrifice"",""who"":""owner"",""filter"":{""kind"":""any""},""optional"":false,""saveDone"":""paid""},{""do"":""ifVar"",""var"":""paid"",""then"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""any""},""optional"":false,""byMagic"":true},{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""any""},""optional"":false,""byMagic"":true}]}]","{""steps"":[{""do"":""sacrifice"",""who"":""owner"",""filter"":{""kind"":""any""},""optional"":false,""saveDone"":""paid""},{""do"":""ifVar"",""var"":""paid"",""then"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""any""},""optional"":false,""byMagic"":true},{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""any""},""optional"":false,""byMagic"":true}]}]}",,FALSE
s_claws,Sticky Claws,Dragons,magic,,2,2,Draw deck,FALSE,,#9c640c,Look at another player’s hand and take a card from it.,,When played,lookTake,,,,,,"[{""do"":""lookTake"",""who"":""owner""}]","{""steps"":[{""do"":""lookTake"",""who"":""owner""}]}",,FALSE
s_tailswipe,Tail Swipe,Dragons,magic,,2,2,Draw deck,FALSE,,#ca6f1e,Return a card in another player’s stable to their hand.,,When played,return,,,,,,"[{""do"":""return"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""others""},""optional"":false}]","{""steps"":[{""do"":""return"",""chooser"":""owner"",""filter"":{""kind"":""any"",""zone"":""others""},""optional"":false}]}",,FALSE
s_fate,Twist of Fate,Dragons,magic,,1,1,Draw deck,FALSE,,#5b2c6f,"DRAW 2 cards, then DISCARD 3 cards.",,When played,draw; discard,,,,,,"[{""do"":""draw"",""who"":""owner"",""n"":2},{""do"":""discard"",""who"":""owner"",""n"":3}]","{""steps"":[{""do"":""draw"",""who"":""owner"",""n"":2},{""do"":""discard"",""who"":""owner"",""n"":3}]}",,FALSE
s_gust,Wing Gust,Dragons,magic,,2,2,Draw deck,FALSE,,#85c1e9,Return one card in each player’s stable (including yours) to its owner’s hand.,,When played,returnEach,,,,,,"[{""do"":""returnEach""}]","{""steps"":[{""do"":""returnEach""}]}",,FALSE
i_primordial,Primordial Roar,Dragons,instant,,1,1,Draw deck,FALSE,,#641e16,STOP a card being played and send it to the discard pile. This card cannot be stopped.,,Response to another card being played; Continuous / special rule,,,uncounterable=true,,,,,"{""uncounterable"":true}",,FALSE
i_roar,Roar!,Dragons,instant,,13,13,Draw deck,FALSE,,#c0392b,Play only when another card is being played. STOP that card and send it to the discard pile.,,Response to another card being played,,,,,,,,{},/cards/i_roar.webp,TRUE
